University,Graduation Year,Supervisor 1 Name,Supervisor 2 Name,Project Domain,Project Title,Project Summary,Number of Peers,Sponsored by Company,Company Name,Company Mentor Name,Thesis Document
Ain Shams,2025,Dr. Hossam Hassan,Dr. Wagdy Anis,Digital,RISC-V Integration and ISA Extension for Efficient MSM on BLS12-377 and BLS12-381 Curves,"This project aims to accelerate cryptographic computations on a RISC-V processor by designing a specialized hardware module optimized for Multi-Scalar Multiplication (MSM) on BLS12-377 and BLS12-381 elliptic curves, implementing it on FPGA, and making verification tests on it. It also extends the RISC-V ISA with dedicated instructions to control the MSM module, enabling significant performance improvements for cryptographic applications through a hardware-software co-design approach.",10,Yes,Silicon Arts,Dr. Hossam Hassan,https://drive.google.com/open?id=1RPviSUN-53d51POT0HH6Vqu4UEDQkLx3
Cairo,2025,Dr. Abdalrahman Abotaleb,Dr. Ahmed Hussien,Embedded Software,AI-Enhanced OBD Interpretation and Secure Embedded Architecture for Software-Defined Vehicles,"cybersecurity capabilities across these domains.
Application Layer
The application layer in this project is divided into two main functional modules:
1. Cybersecurity Module
• Cryptographic Security: Uses symmetric and post-quantum encryption to secure communication.
• SOME/IP Intrusion Detection System (IDS): Employs machine learning (BiLSTM and Random Forest) 
to detect anomalies in service-oriented vehicle communication.
• Firewall System: A custom rule engine built in C++ on top of iptables for dynamic packet filtering.
• Linux Security Module (LSM) Manager: Implements access control monitoring using SMACK for 
secure execution environments.
• Firmware Malware Detection: Uses deep learning to analyze firmware binaries for potential threats and 
includes a secure bootloader validation process.
2. OBD Chatbot Module
• LLM-Based Diagnostic Assistant: Integrates a Large Language Model to interpret OBD-II fault codes in 
natural language, providing drivers with accessible, real-time insights and recommendations.
Operating System Layer
Two operating systems are utilized in this project:
• Embedded Linux
o Built using the Yocto Project for a customizable and lightweight system.
o Supports SOME/IP communication, security services, and diagnostics infrastructure.
• Embedded Android (Android Automotive OS)
o Powers the infotainment interface.
o Hosts the OBD Chatbot, allowing seamless interaction with vehicle diagnostics through voice or 
touch interface.
Cloud and Web Integration
To support diagnostics and remote security monitoring, the platform includes:Cloud IoT Connectivity:
o Secure transmission of diagnostic and security data (OBD faults, intrusion alerts, firmware status) 
to a cloud backend.
• Web Application with Database:
o A central dashboard for storing and visualizing real-time vehicle health, threat reports, and 
firmware updates.",6,No,NA,NA,https://drive.google.com/open?id=1ceunt_AwWoOy1aRGwAkeKo2Zp-j2S3Yo
Cairo,2025,Dr. Yasmine Fahmy,NA,Digital,Modeling and Implementing the DSP and Reed-Solomon FEC Components of an ADC-Based High-Speed Serial Link,"Designed and modeled a 112 Gbps high-speed serial link system in MATLAB to enable robust data transmission for modern high-throughput applications such as data centers, PCIe, and Ethernet networks. The system addressed key channel impairments—attenuation, inter-symbol interference (ISI), and noise—using advanced signal processing techniques tailored for high-speed environments.
Developed a high-performance receiver chain that includes a Continuous-Time Linear Equalizer (CTLE), Feed-Forward Equalizer (FFE), Decision Feedback Equalizer (DFE), and a Clock and Data Recovery (CDR) unit to enable precise data sampling. An Analog-to-Digital Converter (ADC) was incorporated to transition the signal into the digital domain for further processing.Integrated Reed-Solomon (RS) Forward Error Correction (FEC) to enhance error resilience, achieving a target BER of 1e-5 after equalization and 1e-15 after RS decoding. From a digital IC design perspective, the project emphasized algorithm-to-architecture mapping and developed fixed-point models to ensure hardware feasibility.RTL implementation and synthesis of key components (FFE, DFE, RS decoder, and CDR logic) were successfully completed, targeting full integration on ASIC platforms.",6,Yes,OrionX,Eng. Mohamed Amr,https://drive.google.com/open?id=1neL3NEN6EZKhoTkkRUAY4VXw1iANhWkM
Cairo,2025,Dr. Rania Osama,NA,Digital,Digital Implementation of PCS Sublayer for 200/400 Gbps Compliant with IEEE 802.3 PHY Ethernet Standard,"• Designing and verifying the Physical Coding Sublayer (PCS) Transmitter / Receiver architecture compliant with IEEE 200 / 400 Gigabit Ethernet PHY Layer standards
• Implementing Forward Error Correction (FEC) using Reed - Solomon Codec to enhance data integrity and reduce bit error rates in high-speed communication
• Optimizing RTL design for area efficiency and performance metrics (e.g., latency, throughput)
",6,Yes,Siemens EDA,"Eng. Mohammed Shaaban
Eng. Ragi Adel
Eng. Momen Eldesoki
Eng. Eman Arafa
Eng. Amr MagedAhmed Emad",https://drive.google.com/open?id=1VysFY6JzKng-hhtFEmXR7FqI9Ys0KkBR
Sohag,2023,Eng. Soha Hamed,Dr. Ayad Shohdy,Layout,Analog design and Layout automation for variable gain amplifier,Analog Layout for VGA & OTA,8,Yes,Si-Vision,Eng. Osama gamal,https://drive.google.com/open?id=1qu0WACDeYuN2CdoZroQHK6ABMpsbBvuh
ITI Digital IC Track,2025,Eng. Ahmed Elgayar,Eng. Fayza Hamada,Digital,C-PHY Design,"The project involves the ASIC design and verification of a MIPI C-PHY v1.0 transmitter, which enables high-speed serial data transmission using 3-wire triads and ternary signaling. It includes RTL design of key modules such as the encoder, high-speed sequencer, and escape mode sequencer, along with SystemVerilog-based verification using assertions. The flow covered protocol understanding, architecture definition, RTL implementation, integration, linting with Spyglass, synthesis, and DFT preparation.

",5,Yes,Si-Vision,Eng. Ahmed Zaazaa,https://drive.google.com/open?id=1bqJ1959grR9BCM-NumXRZrX_paVPVlnu
Ain Shams,2025,Dr. Hesham Omran,NA,Digital,FPGA-Based Hardware Acceleration of NTT with RISC-V ISA Customization,"Our project aims to accelerate the Number Theoretic Transform (NTT) for fast polynomial multiplication, which is widely used in modern cryptographic schemes. We achieved this by customizing an open-source RISC-V GPU, integrating custom hardware and ISA extensions to support NTT operations efficiently. The modified GPU was then implemented on an FPGA to demonstrate real-world acceleration.",6,Yes,Silicon Arts,Dr. Hossam Hassan,https://drive.google.com/open?id=1tsdvD5OzivqKML2TZaAJiSAhvsU3kwhc
Ain Shams,2025,Dr. Hesham Omran,Eng. Mohamed Sallam,Digital,"System-on-Chip (SoC) Integration: Challenges, Methodologies, and Hands-On Implementation","Project Overview:
We tackled the classic ASIC speed–area–power trade‑off by architecting a custom SoC with dynamic power‑domain control, supporting run, idle, and sleep modes via UPF‑defined gating and isolation. Our hands‑on design models a single‑chip solution—built around the Veer EH1 RISC‑V core, with conceptual support for Wi‑Fi, BLE, sensor interfaces, PLLs and a PMU—optimized for dedicated applications. Such SoCs typically pair with a host processor running Linux, Android or iOS, offloading real‑time tasks while maximizing energy efficiency.

Technical Achievements:
🔹 Multi‑clock & multi‑power‑domain management with CDC techniques
🔹 Analog SV modeling (ADCs/DACs, PLLs, PMU)
🔹 Low‑power RTL optimizations & UPF‑defined power intent (power supply network, isolation, run/idle/sleep modes)
🔹 In‑house SoC integration: Veer EH1 RISC‑V core + AMBA bus agents
🔹 Successful SoC bring‑up and full‑system functional validation
🔹 UPF‑driven power‑aware verification & reporting
🔹 Firmware & boot sequence development in C and RISC‑V assembly
🔹 EDA flow automation via Makefiles and TCL scripts
🔹 All SoC blocks, including peripherals and control logic, were designed from scratch in SystemVerilog.
🔹 UVM-based verification for AMBA protocols (AHB/APB) and selected SoC components
",7,Yes,Sifive,Eng. Mohamed Sallam,https://drive.google.com/open?id=1zR6y5brLn7ru87bPOtcKaUa6xK0VpkmS
Alexandria,2022,Dr. Mohamed Al Banna,NA,Digital,CNN Accelerator,"Using:1- system verilog as base RTL language 
2- the architecture based on patch units and systolic array architecture from IEEE papers 
3-Behavioral model using Matlab to mimic the convolution of matrices 
4- UVM based test bench to compare behavioral model with RTL",7,No,NA,NA,https://drive.google.com/open?id=1liQawmdpvV9igSImGmIkOcQdL2NtfiG-
Cairo,2024,Dr. Omar Nasr,NA,Digital,Digital Design Verification of CXL 2.0 using UVM,"Verified cxl 2.0 using random constrained verification approach, catched 14 bugs , reached 100% functional coverage",5,Yes,Si-Vision,Eng. Abdelrahman Tarek,https://drive.google.com/open?id=1oJg7ZCeu0QojNJmEyfr9VQQAtzvl5N3L
Cairo,2024,Dr. Hossam Fahmy,NA,Digital,Implementation PCIe Gen5 controller,Implementation PCIe gen5 controller ( transaction layer - Data link layer- physical layer),12,Yes,Si-Vision,"Dr. Hossam Fahmy
Eng. Khaled Hassan
Eng. Mohamed Maher
Eng. Mahmoud sedky",https://drive.google.com/open?id=1g-8T3m_Y6GV7TCa4SVA4FONiSRsjyWwd
Ain Shams,2019,Dr. Mohamed Ibrahim,Dr. Hossam Hassan,Robotics,Autonomous Serial Manipulators for Industry,"A ping-pong playing robot, a demonstration of the ability of arm robots of performing real-time autonomy.",4,No,NA,NA,https://drive.google.com/open?id=1ZWv4B-gsqzzXlAKKwjN1inkiBg5CC86H
Cairo,2025,Dr. Hossam Fahmy,Dr. Rania Osama,Digital,Digital design for PCIe Gen 6.0 Controller over UCIe 2.0 adapter layer,"PCIe (Peripheral Component Interconnect Express) is a high-speed 
serial computer expansion bus standard designed to replace older 
standards like PCI and PCI-X. PCIe offers significantly faster data 
transfer rates, improved scalability, and greater efficiency by using 
point-to-point architecture instead of shared parallel bus. It is widely 
used in modern computers for connecting graphics cards, network 
cards, and other high-performance hardware components.
PCIe Layering are described as follows, Transaction Layer, Data Link 
Layer and Physical Layer which can be divided into two sections: one 
that processes outbound (to be transmitted) information and one that 
processes inbound (received) information.
PCIe uses packets to communicate information between components. 
Packets are formed in the Transaction and Data Link Layers to carry 
the information from the transmitting component to the receiving 
component. As the transmitted packets flow through the other layers, 
they are extended with additional information necessary to handle 
packets at those layers. At the receiving side the reverse process 
occurs and packets get transformed from their Physical Layer 
representation to the Data Link Layer representation and finally (for 
Transaction Layer Packets) to the form that can be processed by the 
Transaction Layer of the receiving device.
The project scope is to implement the main data-path for PCIe 6.0 
controller layers that are interfacing with UCIe 2.0 Adapter 
(Transaction Layer & Data link Layer)",4,Yes,Si-Vision,"Eng. Ramy Raafet
Eng. Mahmoud Sedkey
Eng. Khaled Hassan 
Eng. Heba Magdy
Eng. Nermeen Osama 
Eng. Yara Wael
Eng. Abdelrahman Atef",https://drive.google.com/open?id=1tdiKajnd3jH6C812h56PTxrYJjE7TQKM
Ain Shams,2025,Dr.Hesham Omran,Eng.Mohamed Sallam,Digital,System-on-Chip (SoC) Integration Hands-On Implementation,"System-on-Chip (SoC) Integration: Challenges, Methodologies, and Hands-On Implementation

The design of electronic chips for any application is centered around the well-known trade-off triangle: higher speed, reduced area, and lower power consumption. A key optimization strategy in achieving these objectives is minimizing the need for multiple chips by integrating as many functions as possible into a single integrated circuit, commonly known as a System-On-Chip (SoC). A typical SoC can integrate various components, such as one or more central processing units (CPUs), graphics processing units (GPUs), embedded storage memories, interface peripherals, sensors, radio modems, phase-locked loops (PLLs), and a power management unit (PMU).
The integration of both digital and analog components onto a single chip adds significant complexity, as each component may have unique requirements and interfaces that must be carefully managed. This increases the need for specialized expertise, advanced tools, and often leads to longer development times and higher costs. Additionally, this complexity requires extensive verification throughout the digital design flow to ensure all components work together seamlessly, as a single point of failure can compromise the functionality of the entire system.

The primary objective of this project is to acquire hands-on experience in SoC integration, understand the associated challenges, apply common integration methodologies, and develop a system-level perspective of a fully functional SoC.
Although this project is primarily based on synchronous digital design and will involve a variety of block-level digital design tasks—such as developing a basic RISC-V processor, interface peripherals, digital controllers, and on-chip bus agents—the core activities and learning objectives will focus on SoC integration. Key aspects include multi-clock domain crossing techniques, clock/reset generation logic for multi-clock and multi-power domains, HW/SW interfacing through RISC-V system integration, low-power design methodologies, and behavioral modeling for interfaces with analog components.

Project Activities:
1. Reading and understanding design specifications (e.g., AMBA bus protocol, RISC-V architecture, and interface protocols).
2. Translating design specifications into synthesizable RTL code using HDL.
3. Verifying the design by running simulations with CAD tools and debugging design/integration issues.
4. Performing low-power optimization at the RTL level and writing UPF code to define power intent.
5. Implementing the design on an ASIC technology library.
Pre-requisites:
● Solid understanding of digital circuit fundamentals.
● Experience with Verilog coding and familiarity with the digital design flow.
● Basic knowledge of computer architecture and the ability to write simple C code to run on a RISC-V embedded processor.
",7,Yes,Sifive,Eng.Mohamed Sallam,https://drive.google.com/open?id=1JdU_HaJkYk5xTGseF18iVyDmEYMihMka
